N,smina,gnina,best
1.0,28.201176566398676,26.641618600631652,74.79001756068948
2.0,36.78287727042567,38.47383045361046,74.79001756068948
3.0,42.380985159676655,45.756284943098095,74.79001756068948
4.0,45.07630407695096,50.34072377368136,74.79001756068948
5.0,48.09237926520522,53.3692863494467,74.79001756068948
6.0,50.264706619458224,55.12675353557785,74.79001756068948
7.0,51.823790236246886,56.91952355137611,74.79001756068948
8.0,53.401534232407826,58.27902934101892,74.79001756068948
9.0,54.55383462676784,59.53831872333406,74.79001756068948
10.0,55.81074577562224,60.9724032353503,74.79001756068948
