N,smina,gnina,best
1.0,31.730625288602273,45.61579185553003,92.92841514720097
2.0,41.02849337134634,61.11839859126961,92.92841514720097
3.0,47.04665164247404,68.69732121656531,92.92841514720097
4.0,50.15676523662225,73.30106894689997,92.92841514720097
5.0,54.230891497769214,76.62992893120347,92.92841514720097
6.0,57.10354870093207,78.75024722438445,92.92841514720097
7.0,59.010672933818206,80.7234254662317,92.92841514720097
8.0,62.41255969077498,81.81469483751899,92.92841514720097
9.0,64.00827829932174,83.00498118220239,92.92841514720097
10.0,65.50842746625041,83.83620446974504,92.92841514720097
